# compiler: R8
# compiler_version: 1.4.94
# min_api: 1
com.google.android.exoplayer2.BasePlayer -> com.google.android.exoplayer2.BasePlayer:
    1:2:void <init>():29:30 -> <init>
    1:3:int getBufferedPercentage():116:118 -> getBufferedPercentage
    4:4:int getBufferedPercentage():120:120 -> getBufferedPercentage
    1:2:long getContentDuration():137:138 -> getContentDuration
    3:3:long getContentDuration():140:140 -> getContentDuration
    1:3:java.lang.Object getCurrentTag():107:109 -> getCurrentTag
    4:4:java.lang.Object getCurrentTag():111:111 -> getCurrentTag
    1:2:int getNextWindowIndex():88:89 -> getNextWindowIndex
    3:3:int getNextWindowIndex():92:92 -> getNextWindowIndex
    4:4:int getNextWindowIndex():91:91 -> getNextWindowIndex
    1:2:int getPreviousWindowIndex():97:98 -> getPreviousWindowIndex
    3:3:int getPreviousWindowIndex():101:101 -> getPreviousWindowIndex
    4:4:int getPreviousWindowIndex():100:100 -> getPreviousWindowIndex
    1:1:int getRepeatModeForNavigation():145:145 -> getRepeatModeForNavigation
    1:1:boolean hasNext():70:70 -> hasNext
    1:1:boolean hasPrevious():57:57 -> hasPrevious
    1:2:boolean isCurrentWindowDynamic():125:126 -> isCurrentWindowDynamic
    1:2:boolean isCurrentWindowSeekable():131:132 -> isCurrentWindowSeekable
    1:3:boolean isPlaying():35:37 -> isPlaying
    1:1:void next():75:75 -> next
    2:2:void next():77:77 -> next
    1:1:void previous():62:62 -> previous
    2:2:void previous():64:64 -> previous
    1:1:void seekTo(long):52:52 -> seekTo
    1:1:void seekToDefaultPosition():42:42 -> seekToDefaultPosition
    2:2:void seekToDefaultPosition(int):47:47 -> seekToDefaultPosition
    1:1:void stop():83:83 -> stop
com.google.android.exoplayer2.BasePlayer$ListenerHolder -> com.google.android.exoplayer2.BasePlayer$ListenerHolder:
    1:2:void <init>(com.google.android.exoplayer2.Player$EventListener):162:163 -> <init>
    1:1:boolean equals(java.lang.Object):188:188 -> equals
    2:2:boolean equals(java.lang.Object):191:191 -> equals
    1:1:int hashCode():196:196 -> hashCode
    1:2:void invoke(com.google.android.exoplayer2.BasePlayer$ListenerInvocation):178:179 -> invoke
    1:1:void release():170:170 -> release
com.google.android.exoplayer2.BaseRenderer -> com.google.android.exoplayer2.BaseRenderer:
    1:3:void <init>(int):47:49 -> <init>
    1:6:void disable():153:158 -> disable
    1:6:void enable(com.google.android.exoplayer2.RendererConfiguration,com.google.android.exoplayer2.Format[],com.google.android.exoplayer2.source.SampleStream,long,boolean,long):81:86 -> enable
    1:1:com.google.android.exoplayer2.RendererConfiguration getConfiguration():281:281 -> getConfiguration
    1:1:int getIndex():288:288 -> getIndex
    1:1:long getReadingPositionUs():119:119 -> getReadingPositionUs
    1:1:int getState():74:74 -> getState
    1:1:com.google.android.exoplayer2.source.SampleStream getStream():109:109 -> getStream
    1:1:com.google.android.exoplayer2.Format[] getStreamFormats():274:274 -> getStreamFormats
    1:1:int getTrackType():54:54 -> getTrackType
    1:1:boolean hasReadStreamToEnd():114:114 -> hasReadStreamToEnd
    1:1:boolean isCurrentStreamFinal():129:129 -> isCurrentStreamFinal
    1:1:boolean isSourceReady():341:341 -> isSourceReady
    1:1:void maybeThrowStreamError():134:134 -> maybeThrowStreamError
    1:1:int readSource(com.google.android.exoplayer2.FormatHolder,com.google.android.exoplayer2.decoder.DecoderInputBuffer,boolean):308:308 -> readSource
    2:4:int readSource(com.google.android.exoplayer2.FormatHolder,com.google.android.exoplayer2.decoder.DecoderInputBuffer,boolean):310:312 -> readSource
    5:6:int readSource(com.google.android.exoplayer2.FormatHolder,com.google.android.exoplayer2.decoder.DecoderInputBuffer,boolean):314:315 -> readSource
    7:10:int readSource(com.google.android.exoplayer2.FormatHolder,com.google.android.exoplayer2.decoder.DecoderInputBuffer,boolean):317:320 -> readSource
    1:6:void replaceStream(com.google.android.exoplayer2.Format[],com.google.android.exoplayer2.source.SampleStream,long):99:104 -> replaceStream
    1:2:void reset():163:164 -> reset
    1:3:void resetPosition(long):139:141 -> resetPosition
    1:1:void setCurrentStreamFinal():124:124 -> setCurrentStreamFinal
    1:1:void setIndex(int):64:64 -> setIndex
    1:1:int skipSource(long):334:334 -> skipSource
    1:3:void start():91:93 -> start
    1:3:void stop():146:148 -> stop
    1:1:boolean supportsFormatDrm(com.google.android.exoplayer2.drm.DrmSessionManager,com.google.android.exoplayer2.drm.DrmInitData):362:362 -> supportsFormatDrm
com.google.android.exoplayer2.C -> com.google.android.exoplayer2.C:
    1:1:void <clinit>():694:694 -> <clinit>
    2:2:void <clinit>():701:701 -> <clinit>
    3:3:void <clinit>():708:708 -> <clinit>
    4:4:void <clinit>():715:715 -> <clinit>
    5:5:void <clinit>():723:723 -> <clinit>
    1:1:void <init>():42:42 -> <init>
    1:2:int generateAudioSessionIdV21(android.content.Context):1073:1074 -> generateAudioSessionIdV21
    1:1:long usToMs(long):1051:1051 -> usToMs
com.google.android.exoplayer2.DefaultControlDispatcher -> com.google.android.exoplayer2.DefaultControlDispatcher:
    1:1:void <init>():24:24 -> <init>
    1:1:boolean dispatchSeekTo(com.google.android.exoplayer2.Player,int,long):34:34 -> dispatchSeekTo
    1:1:boolean dispatchSetPlayWhenReady(com.google.android.exoplayer2.Player,boolean):28:28 -> dispatchSetPlayWhenReady
    1:1:boolean dispatchSetRepeatMode(com.google.android.exoplayer2.Player,int):40:40 -> dispatchSetRepeatMode
    1:1:boolean dispatchSetShuffleModeEnabled(com.google.android.exoplayer2.Player,boolean):46:46 -> dispatchSetShuffleModeEnabled
    1:1:boolean dispatchStop(com.google.android.exoplayer2.Player,boolean):52:52 -> dispatchStop
com.google.android.exoplayer2.DefaultLoadControl -> com.google.android.exoplayer2.DefaultLoadControl:
    1:1:void <init>():256:256 -> <init>
    2:2:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator):262:262 -> <init>
    3:3:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator,int,int,int,int,int,boolean):285:285 -> <init>
    4:6:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator,int,int,int,int,int,int,boolean,int,boolean):308:310 -> <init>
    7:7:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator,int,int,int,int,int,int,boolean,int,boolean):312:312 -> <init>
    8:8:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator,int,int,int,int,int,int,boolean,int,boolean):314:314 -> <init>
    9:9:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator,int,int,int,int,int,int,boolean,int,boolean):316:316 -> <init>
    10:10:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator,int,int,int,int,int,int,boolean,int,boolean):321:321 -> <init>
    11:13:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator,int,int,int,int,int,int,boolean,int,boolean):326:328 -> <init>
